element,fixture,opponent_team,total_points,was_home,kickoff_time,team_h_score,team_a_score,round,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,starts,expected_goals,expected_assists,expected_goal_involvements,expected_goals_conceded,value,transfers_balance,selected,transfers_in,transfers_out,playername,web_name,position
1,2,16,0,TRUE,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,59090,0,0,Folarin Balogun,Balogun,FWD
1,12,8,0,FALSE,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-4744,63768,4959,9703,Folarin Balogun,Balogun,FWD
1,21,10,0,TRUE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-7682,58109,2507,10189,Folarin Balogun,Balogun,FWD
1,31,14,0,TRUE,2023-09-03T15:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-9696,49814,2558,12254,Folarin Balogun,Balogun,FWD
2,2,16,0,TRUE,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,0,29866,0,0,Cédric Alves Soares,Cédric,DEF
2,12,8,0,FALSE,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2650,34540,1902,4552,Cédric Alves Soares,Cédric,DEF
2,21,10,0,TRUE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2284,34131,1538,3822,Cédric Alves Soares,Cédric,DEF
2,31,14,0,TRUE,2023-09-03T15:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,40,-2092,33330,930,3022,Cédric Alves Soares,Cédric,DEF
3,2,16,0,TRUE,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,0,10880,0,0,Mohamed Elneny,M.Elneny,MID
3,12,8,0,FALSE,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,45,-3499,7526,123,3622,Mohamed Elneny,M.Elneny,MID
3,21,10,0,TRUE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,320,8822,2812,2492,Mohamed Elneny,M.Elneny,MID
3,31,14,0,TRUE,2023-09-03T15:30:00Z,3,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,44,-1304,7446,133,1437,Mohamed Elneny,M.Elneny,MID
4,2,16,0,TRUE,2023-08-12T12:00:00Z,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,0,9548,0,0,Fábio Ferreira Vieira,Fábio Vieira,MID
4,12,8,0,FALSE,2023-08-21T19:00:00Z,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,55,-1917,10260,468,2385,Fábio Ferreira Vieira,Fábio Vieira,MID
4,21,10,7,TRUE,2023-08-26T14:00:00Z,2,2,3,34,0,2,0,1,0,0,0,0,0,0,0,22,23.0,15.3,25.0,6.3,0,0.04,0.22,0.26,0.25,54,-1390,9325,183,1573,Fábio Ferreira Vieira,Fábio Vieira,MID
4,31,14,4,TRUE,2023-09-03T15:30:00Z,3,1,4,13,0,1,0,0,0,0,0,0,0,0,0,15,18.0,12.2,4.0,3.4,0,0.00,0.01,0.01,0.06,54,1049,11354,1919,870,Fábio Ferreira Vieira,Fábio Vieira,MID
5,2,16,1,TRUE,2023-08-12T12:00:00Z,2,1,1,4,0,0,0,0,0,0,0,0,0,0,0,2,0.2,0.0,0.0,0.0,0,0.00,0.00,0.00,0.02,50,0,2743150,0,0,Gabriel dos Santos Magalhães,Gabriel,DEF
5,12,8,1,FALSE,2023-08-21T19:00:00Z,0,1,2,20,0,0,0,0,0,0,0,0,0,0,0,5,13.0,0.0,0.0,1.3,0,0.00,0.00,0.00,0.73,50,-223848,2639445,61796,285644,Gabriel dos Santos Magalhães,Gabriel,DEF
5,21,10,0,TRUE,2023-08-26T14:00:00Z,2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.00,0.00,0.00,0.00,49,-621417,2040170,36142,657559,Gabriel dos Santos Magalhães,Gabriel,DEF
5,31,14,2,TRUE,2023-09-03T15:30:00Z,3,1,4,90,0,0,0,1,0,0,0,0,0,0,0,16,21.2,2.2,0.0,2.3,1,0.00,0.01,0.01,0.96,48,-595383,1453168,13908,609291,Gabriel dos Santos Magalhães,Gabriel,DEF
6,2,16,2,TRUE,2023-08-12T12:00:00Z,2,1,1,90,0,0,0,1,0,0,0,0,0,0,0,11,9.4,30.3,15.0,5.5,1,0.05,0.24,0.29,1.18,75,0,407159,0,0,Kai Havertz,Havertz,MID
6,12,8,2,FALSE,2023-08-21T19:00:00Z,0,1,2,90,0,0,1,0,0,0,0,1,0,0,0,-1,0.0,13.8,6.0,1.9,1,0.02,0.05,0.07,1.06,75,-63530,377081,8492,72022,Kai Havertz,Havertz,MID
